source,target
Joseph Eaton,Nathaniel Willis
Edward Burbeck,Nicholls
Anthony Morse,Samuel Cooper
Edward Cailleteau,William McAlpine
Adam Collson,James Starr
Henry Broomfield,John Brown
Benjamin Church,William Molineux
Gilbert Ash,Samuel Barrett
Benjamin Burt,Elisha Story
John Gammell,Samuel Foster
John Cochran,Samuel Sprague
George Trott,John Smith
Henry Bass,John Cochran
Benjamin Edes,Gabriel Johonnott
Ambrose Sloper,Richard Pulling
Ambrose Sloper,Moses Deshon
James Foster Condy,Peter Boyer
Moses Grant,Richard Boynton
Joseph Roby,Nathaniel Willis
James Bewer,Robert Davis
James Starr,Thomas Machin
David Bradlee,Samuel Hammond
James Foster Condy,Samuel Foster
John Gammell,Josiah Wheeler
George Bray,John Hoffins
Capt MacKintosh,Edward Dolbear
Bos Foster,Sam Partridge
James Swan,Nathaniel Holmes
Joseph Lee,Samuel Peck
Gibbens Sharp,Joseph Greenleaf
Joseph Lee,Lendall Pitts
Samuel Peck,Thomas Williams
Royall Tyler,Samuel Phillips
Josiah Bradlee,William Russell
Joseph Mountford,Samuel Cooper
Ebenezer Stevens,Thomas Bradlee
John Gammell,John Spurr
Abiel Ruddock,John Winthrop
Edward Dolbear,Samuel Barnard
John Brown,Sam Partridge
John Hancock,Thomas Dawes
Henry Bass,William Phillips
Joseph Greenleaf,William Mackay
Nathaniel Barber,Oliver Wendell
Josiah Bradlee,Samuel Gore
Henry Prentiss,Lendall Pitts
Eben Johnston,Jonathan Mason
Lendall Pitts,William Hendley
Oliver Wendell,Samuel Barrett
Caleb Champney,John Adams
Capt MacKintosh,Henry Bass
James Ivers,Joseph Warren
Stephen Bruce,Thomas Spear
Jonathan Parker,Thomas Porter
Adam Collson,John Ballard
Nat Noyces,Oliver Wendell
Benjamin Burt,Edward Proctor
Daniel Ingersoll,John Randall
Seth Chipman,William Burbeck
Caleb Hopkins,Newn Greenough
David Kinnison,Edward Proctor
Joseph Lee,Joseph Mountford
Joseph Warren,Seth Chipman
Edward Davis,Moses Gill
Benjamin Clarke,Samuel Hammond
Joseph Payson,Phineas Stearns
David Bradlee,Paul Revere
Jeremiah Williams,John Gammell
