source,destination
PVG,SHE
IAH,TUL
OGG,YVR
CDG,ICN
DOH,RGN
FRA,KIX
PMI,ZQW
ATZ,RUH
GEA,KOC
ICN,NGB
PVG,SHP
FCO,TBS
BWI,LHR
AKJ,TPE
ICN,NGO
DWC,VKO
ELV,JNU
DOK,KUT
CZS,RBR
LYS,ORY
FUJ,NGS
CKG,PZI
MFM,NNG
ATH,RIX
AMQ,SXK
RAK,ZRH
PVG,TYN
LYS,ORN
LAS,OKC
CPT,GBE
TSA,WNZ
BRS,BZR
GIG,POA
BOH,TFS
ORD,SDF
MRU,NBO
SJW,ZQZ
DWC,LED
XIY,ZYI
GYD,TSE
KGP,SVX
CGK,SIN
LIS,VCE
BGY,CHQ
FCO,MIA
BGO,KTW
ADD,LHR
LAS,SHV
KGD,TAS
TUK,UET
CVG,LAX
FRA,MPL
GVA,NTE
SVQ,VLC
CVG,LAS
EYK,SVX
SPU,VIE
RAK,TLS
CTU,URC
AUH,GRU
MXP,STR
FOC,KMG
BKI,PPS
DUS,HRG
DMM,DWC
MYR,YYZ
ANU,NEV
FRA,STR
IST,VIE
GRZ,ZRH
PHX,SEA
DEN,FSD
IAD,PVD
RHO,SVO
BSB,IMP
FNC,LBA
MIA,PIT
BGY,TSR
RUN,SMS
NAP,VRN
CGH,FLN
CMB,NRT
HET,NZH
BLR,VTZ
RBY,TAL
VER,VSA
LAS,MLI
CNS,RAB
YHY,YSM
ETH,SDV
CLE,FLL
DEN,YVR
BKK,MLE
ICN,SGN
ARM,SYD
HYD,MCT
MSP,PIT
LIM,UIO
FRA,LAD
MIA,SXM
KTM,PBH
BRE,PMI
BUF,JFK
BEJ,BPN
KRR,OVB
ACE,BIO
FRA,LAS
JER,SOU
HND,KMI
IBZ,SCQ
AZA,LAS
ORD,RNO
CPH,SAW
CAN,CDG
BCD,CGY
CKY,OXB
BRS,PSA
EIN,SVQ
MCO,MHH
JAV,JUV
EZE,IAH
ADL,PER
JFK,ROC
JFK,YUL
KOA,OGG
AMS,IAH
KUF,LED
DFW,SDF
ACY,FLL
YTS,YYZ
AMS,DEL
DCA,IAH
YTS,YYU
AMS,IAD
CTU,DSN
BNB,MDK
MDT,SFB
HRI,JED
DFW,RNO
BOS,HOU
DTW,MLI
IAH,MTY
LHR,LIN
YQG,YYC
LIS,TER
CEM,FAI
ATL,MTY
DUB,GDN
EZE,PTY
MSP,TPA
KGS,RYG
KNH,RMQ
OSS,SVX
BNA,IAD
HAN,LPQ
BGY,FEZ
PPT,XMH
ASF,SAW
JED,SAW
ASM,JUB
ANU,FRA
DUB,MCO
JFK,VCE
DAC,MAA
GEA,MEE
ANU,UVF
CUN,DEN
HAS,RUH
CLT,TYS
LIT,ORD
VAI,WWK
ANU,POP
DTW,SEA
OTP,PRG
DME,SGN
AKV,YPX
LHW,NNG
FCO,LRM
DEL,IKA
LJU,TIA
HYD,KUL
EZE,LHR
CAN,DYG
AMS,SXB
KHV,YKS
AVL,DTW
AIN,BRW
AGP,MRS
DME,LLK
CNX,KBV
BKK,GAU
AJA,CFR
NTE,ORY
ATL,PLS
DMK,KKC
NCU,VKO
GYD,OMS
ADK,ANC
DUB,LYS
BTS,DUB
JED,URY
BWI,PWM
OVS,TJM
FAO,GRQ
BOG,SVI
ALC,MUC
CPH,SKG
LAX,SMF
HPB,VAK
CKG,KHH
KJA,NZH
JMK,MXP
YEG,YMM
GCC,SLC
BRE,STR
MEX,VSA
LAX,MCI
MAN,PSA
BJV,LBA
EDL,KIS
LCA,VIE
CPH,KRS
EMA,REU
SKP,ZRH
DAD,HKG
JED,MXP
OAK,SAN
ALC,SVG
HER,NUE
MAN,YYC
CMN,IST
STN,SZG
HMA,OMS
BEW,UEL
BWI,PIT
CRL,TFS
PGD,RFD
LGW,RIX
STN,SZZ
AUS,SLC
SBN,SFB
ANU,AXA
IOM,MAN
BKO,TUN
BEG,GVA
ATH,OSL
ORY,VCE
RNO,SJC
LIL,SPU
HKG,ZHA
EWR,SYR
LTN,SKP
BRU,TLL
AMS,MME
MCT,MED
BOG,CCS
DLC,KMG
FRA,JNB
CCU,CGP
LPL,REU
IAH,MUC
ICN,ORD
