source,target
Jasper Sitwell,Sharon Carter
Georgi Luchkov,The Other
Jacques Dernier,Steve Rogers
Loki,Thor
Darcy Lewis,Loki
Chess Roberts,Stern
Georgi Luchkov,Gideon Malick
Nebula,Thanos
Happy Hogan,Ho Yinsen
Clint Barton,Vision
Frigga,Steve Rogers
Helen Cho,Wanda Maximoff
Gabe Jones,Heinz Kruger
Chess Roberts,Pepper Potts
Korath,Kraglin
Hawley,J.A.R.V.I.S.
Peggy Carter,Red Skull
Abraham Erskine,Jim Morita
Gideon Malick,Tony Stark
James Rhodes,Peggy Carter
Gamora,Howard the Duck
Alexander Pierce,Georges Batroc
Peggy Carter,Sam Wilson
Fandral,Tyr
Dave,Sam Wilson
Hank Pym,Maggie
Gabe Jones,Gilmore Hodge
Tony Stark,Wu
Everett K. Ross,James Rhodes
Abraham Erskine,James Montgomery Falsworth
Odin,Sif
Howard Stark,Luis
Jasper Sitwell,Pietro Maximoff
Hogun,The Collector
Paxton,Peggy Carter
Howard Stark,Nick Fury
Gamora,Ronan the Accuser
Natasha Romanov,Stern
Gideon Malick,Loki
Janet Van Dyne,Mitchell Carson
Laura Barton,Maria Hill
Dale,Paxton
Natasha Romanov,Nick Fury
James Rhodes,Steve Rogers
Clint Barton,May Parker
Gamora,The Collector
Georgi Luchkov,Hawley
Natasha Romanov,Sam Wilson
Bucky Barnes,Tony Stark
Georges Batroc,Natasha Romanov
Anton Vanko,Ivan Vanko
Korath,Nebula
J.A.R.V.I.S.,Jasper Sitwell
Heimdall,Helen Cho
Eric Savin,Rodriguez
Howard the Duck,Ronan the Accuser
Kurt,Scott Lang
James Rhodes,Rodriguez
Eir,Tyr
Bruce Banner,Maria Hill
Brock Rumlow,Jack Rollins
Maria Hill,Tony Stark
Gamora,Groot
Korath,Rhomann Dey
Erik Selvig,Jasper Sitwell
Jasper Sitwell,The Other
J.A.R.V.I.S.,Trevor Slattery
Bucky Barnes,List
Bucky Barnes,Cameron Klein
Eir,Erik Selvig
